,Topic,Count,Name,Representation,Representative_Docs
10,9,164,9_424_448_guld_25,"['424', '448', 'guld', '25', 'schneider2', 'wirth4', 'joseph', '1230', 'anton', '216']","['Gewerbsleute zu  Pölten.1150— Konrad Eiffel,Schuhmacher2— Frau Maria Antonia Gräfin  Erdödy.300— Paul Anton Rejne,Handelsmann260— Thomas Herzog,Frauenputzhandler12— Joseph Wassauer,Haubenmacher6— Joseph Tränker,Hausmeister4— Jakob Oescher,Tabackkramer4— Johanna Rothin,Hebamme12— TheresiaAdler10— Elisabeth Lessacher, Professorswittwe.16— MariaAnnaKerschbaumer24— BarbaraKramerin8624 Franziska Bleichenbach,Handarbeiterin1— Wolfgang Mayer,Wäscher4— Franz Hupmann,Kammmacher2— Sebastian Hochenauer,Milchmann2— Thomas Schweiger,Zahnarzt1— Johann Klar,Fragner2— Konrad Kuschel,Weber1— Joseph Adam,Musikus2— Felix Puechner,Wirth4— Michael Rostenth,Schneider2— | Guld.', 'Gewerbsleute zu  Pölten.1150— Konrad Eiffel,Schuhmacher2— Frau Maria Antonia Gräfin  Erdödy.300— Paul Anton Rejne,Handelsmann260— Thomas Herzog,Frauenputzhandler12— Joseph Wassauer,Haubenmacher6— Joseph Tränker,Hausmeister4— Jakob Oescher,Tabackkramer4— Johanna Rothin,Hebamme12— TheresiaAdler10— Elisabeth Lessacher, Professorswittwe.16— MariaAnnaKerschbaumer24— BarbaraKramerin8624 Franziska Bleichenbach,Handarbeiterin1— Wolfgang Mayer,Wäscher4— Franz Hupmann,Kammmacher2— Sebastian Hochenauer,Milchmann2— Thomas Schweiger,Zahnarzt1— Johann Klar,Fragner2— Konrad Kuschel,Weber1— Joseph Adam,Musikus2— Felix Puechner,Wirth4— Michael Rostenth,Schneider2— Lorenz Stoflitz,Büchsenschiftergesell1— Nikolaus Gleisser,deto1— Joseph Rössler,Webergesell1— Joseph Weber,Hauskanzellist6— Franz Matschack,Kirschner2— Joseph Segel,Perlschlager2— Thomas Weigel,Wirth12— Johann Wagner,Chyrurgus2— Georg Pöschel,Schneider2— Johann Rauter,deto2— Johann Schlegel,deto2— Nikolaus Mascheck,Greissler2— Johann Georg Schram,Pikeemacher4— Anton Holzmüller,Lehrer3— Anna Bayerin,Handarbeiterin2— Franz Glaser,Sollicitator12— Joseph Holl,Hofgeflügelmayer72— Joseph Sticker,Baadmeister6— Juliana Anstein,Schuhmacherswittwe8— Die bürgl.', 'Fratty,Kammerfrau6— Anton Neumann, HausundKasse verwalter48— Martin Lechsteiner,Kammerdiener12— Franz Mohler,—12— Joseph Genberger,Koch12— Anton Böhm,—6— Franz Tschick,Stallmeister12—  Mich. Teutsch,Kammerdiener12— Josepha Patzlin,Köchin12— Franz Theodor Finger, fürstl.Kanzellist536 Joseph Baudyss,—536 Kajetan Knirsch,—448 Lorenz Gattermaier,Hausmeister448 Anton Pfeiffer,Tafeldecker448 Gottlieb Wiegant,Gartner6— Anton Reiss,Wagenmeister448 Le Gros,Sekretar12—  Bitermann,Chyrurgus6—  Molinary,Kammerdiener6—  Olivier,Koch6— Thomas Szonda,Stallmeister6— Johann Härtel,Webergesell1—  Mich. Granzer,Brandweiner4—  Georg Kisslinger,Federhändler6—  Brechenmacher,Gratltrager9—  Luz,Kaffeesieder6— Math.']"
11,10,149,10_baldauf12_rieber_gewesenerhaushofmeister6_eisentandler2,"['baldauf12', 'rieber', 'gewesenerhaushofmeister6', 'eisentandler2', 'meiners', 'mahler24', 'mediziner430', 'benzel', 'kugler', 'elis']","['Anker,Mahler24— Franz Kugler,gewesenerHaushofmeister6—  Anton Rieber,Mediziner430 Augustin Benzel,Eisentandler2— Anna Baldauf12— Elis.', 'Anker,Mahler24— Franz Kugler,gewesenerHaushofmeister6—  Anton Rieber,Mediziner430 Augustin Benzel,Eisentandler2— Anna Baldauf12— Elis.', 'Anker,Mahler24— Franz Kugler,gewesenerHaushofmeister6—  Anton Rieber,Mediziner430 Augustin Benzel,Eisentandler2— Anna Baldauf12— Elis.']"
12,11,141,11_novemb_december_november_maesstrom,"['novemb', 'december', 'november', 'maesstrom', 'maynstrom', 'decemb', 'spannien', 'moselstrohm', 'mailand', 'samstag']","['DEn  Novemb.', 'Den  Novemb.', 'Den  Novemb.']"
13,12,138,12_pferd_pferden_pferde_provincialpferd,"['pferd', 'pferden', 'pferde', 'provincialpferd', 'pferderennen', 'arbeit', 'stall', 'reit', 'postchaise', 'rangspersonen']","['Am folgenden Tage ge schah das Pferderennen, wobey ebenfalls ein besonderer Aufwand von Geschmack, Pracht und Herrlichkeit zu sehen  An dem Platze, von welchem die acht wettkämpfenden Pferde ihren Lauf anfien gen, befand sich ein grosser übergüldeter Triumphwagen, mit vier prächtig gezier ten Rossen bespannt, über welchem ein geschnitzter Merkur schwebte, und die reiche Pferddecke hielt, die der erste Preis NebendemWagenunddenPfer denbefandensichdiedazubestelltenund 1465| eigens in nicht weniger gezierten Livreen gekleideten Leute, dergleichen auch weiter vorne an beyden Seiten, welche auf schön geschnitzten Stangen, die zwey audern Preisdecken hielten.', 'Tomi  Ebroduni 1621. per  | NOTIFICATION Demnach jüngsthin in der Gegend der Wie nerischen Neustadt einige vagierende Leute ge fänglich eingezohen, und mit selben auch et welche Pferde eingebracht worden seynd; Man aber sich beyfallen lasset, dass diese Zigeuner Banda sothane Pferd auf eine unerlaubt, und ungerechte Weiss an sich gebracht haben dörf te; als wird hiemit offentlich kund gemacht, dass zum Fall jemand dieser Pferde halber recht liche Ansprüch zu machen, oder sonst von die sen Vaganten einige Betrügereyen zu entde ken hätte; Selber hierüder die Anzeige bey einer hohen Landes Fürstl   Regierung schriftlich einsänden, oder allenfalls nur hat selber bey des alhiesigen Zucht und Arbeit Hau ses  Superintendenten Herrn Leopold Frantz Grueber des inneren Stadt Rahts in dessen nächst denen Sieben Bücherinen in der so ge nannten grossen Press im 3ten Stock habenden Wohnung von heut dato an, als den  Mart.', 'Letztern Dienstag früh gieng hier eine Postchaise mit  Pferden in aller Eile nach Schotland, es war ein junges Paar darin, welches nach dem Altar eilte, allein, so sehr sie auch eilten, so wurden sie doch zu Morpeth von einem Bedienten des Vaters der Schönen, der wohl beritten war, just da sie ausstiegen, ereilt, der sogleich vom Pferd sprang, und dem jungen Herrn die Pistole mit der Bedrohung vorhielt, den Jnhalt ihme in den Leib zu jagen, wenn er nicht sogleich von der Dame abstehen, und sich wegbegeben würde;einbösesGewissenmacht| feig, das erwahrte sich auch hier, denn er gehorch te sogleich; der Bediente liess sich hierauf ein Zimmer geben, führte die zitternde Schöne in dasselbe, wo er sie genau bewachte, in zwey Stun den kam ihre Kammerfrau in einer Postchaise, und nach gehaltenem Frühstück, musste sich die selbe bequemen, wieder nach dem väterlichen Sitz zurückzukehren, dahin sie von dem Bedienten be gleitet wurde.']"
14,13,129,13_ausgezierten_simbolo_römischen_visiten,"['ausgezierten', 'simbolo', 'römischen', 'visiten', 'stufe', 'königs', 'neigung', 'kommandeurs', 'ampel', 'ausgesetzter']","['Zum Andenken des von den Portu giesen, unter Anführung des Alfonso Henriques im J 1139 bey dem Dorfe Catro Verde, in der Provinz Alenteio über die Mauern erfochtenen Sieges, der diesem Reiche die Unabhängigkeit, und des siegenden Helden die Königskrone verschaft hat, ist das ebengenannte Dorf nunmehr daran, nach vorläufig erhal tener Erlaubniss der Königinn, eine grosse Pyramide von Marmor am Orte des Schlachtfeldes zu errichten.| Spanien.', 'Er betrieb das Werbgeschäft für die Roya listen, war von den Provinzialisten de sertirt, und man hat vieles Geld und eine Menge Kapitulationen bey ihm ge funden.| Paris, den   Am heiligen Pfingstsonntage versam melten sich die Ritter, Kommandeurs, und Beamte des heiligen Geistordens ge gen 11 Uhr Vormittags im  Kabi nete, woselbst  Majestät ein Ordens kapitel hielten, und in demselben den Bischof von Chatres, Grossallmosenpfle ger der Königinn, zum Kommandeur er nannten.', 'Majestät niderwerfen um von jener die Erhö rung ihres eiftigsten Seuftzen und Bittens den wahr haften Ausgang ihrer obigen Wünsche und dann ein schon so lang inständigst verlangte männliche Erb Folge Eurer geheiligten Majestät zu erhalten; von Eurer Ma jestät selbsten aber mit aufrichtigster Untergebenheit und gäntzlicher Zuversicht zu erlangen dass Selbe die Neigung Liebe und Unterthänigkeit ihrer getreuen Her tzen welche sie durch mehrmalige Wünsche genugsamt erwiesen allermildest an und aufzunehmen und dann an ihrer unermüdeten und beständigen Dieust Beflis senheit gegen Eurer Majest.']"
15,14,125,14_effekten___,"['effekten', '', '', '', '', '', '', '', '', '']","['Effekten.', 'Effekten.', 'Effekten.']"
16,15,118,15_termine_dritten_schätzung_zweyten,"['termine', 'dritten', 'schätzung', 'zweyten', 'termin', 'darüber', 'beysatze', 'weder', 'schätzungswerth', 'ersten']","['Da nun hiezu 3 Termine und zwar für den ersten der  August, für den zweyten der  September, und für den dritten den  Oktober   solchergestalt bestimmt worden, dass, wenn gedachte Haus hälfte weder bey dem ersten, noch zweyten Termin um den Schätzungswerth, oder dar über an Mann gebracht werden könnte, solche bey dem dritten Termin auch unter der Schätzung hindangegeben werden würde.', 'Da nun hiezu 3 Termine, und zwar für den ersten der  Juni, für den zweyten der  Juli, und für den dritten der  August jedesmal vormittag um 9 Uhr mit dem Beysatze bestimmt worden, dass, wenn dieses Haus weder bey dem ersten noch zweyten Termin um die Schätzung oder darüber an Mann gebracht werden könnten, es bey dem dritten auch unter der Schätzung verkauft werden würde; so haben die jenigen, welche dieses Haus gegen gleich baare Bezahlung an sich zu bringen gedenken, an den gedachten Tägen und Stunden in der Kanzley die ser Herrschaft zu erscheinen.| Licit.', 'Da nun hiezu 3 Termine, und zwar für den ersten der  Juni, für den zweyten der  Juli, und für den dritten der  August jedesmal vormittag um 9 Uhr mit dem Beysatze bestimmt worden, dass, wenn dieses Haus weder bey dem ersten noch zweyten Termin um die Schätzung oder darüber an Mann gebracht werden könnten, es bey dem dritten auch unter der Schätzung verkauft werden würde; so haben die jenigen, welche dieses Haus gegen gleich baare Bezahlung an sich zu bringen gedenken, an den gedachten Tägen und Stunden in der Kanzley die ser Herrschaft zu erscheinen.| Licit.']"
17,16,115,16_corps_marsch_lager_türken,"['corps', 'marsch', 'lager', 'türken', 'armee', 'commando', 'syrmien', 'elster', 'regiment', 'bautzen']","['Den 7ten ist Nachricht eingeloffen es seye im Frantzösischen Haupt Quartier der General Leutenant Comtede Saxe eingetroffen und solle dieser das Commando von dem bishero comman direnden DucdeHarcourt überneh men; sonst aber haben unsere Croaten und Banduren sowol an der Jser als auf der Donau mit dem Feind wieder um ein und andere kleine Scharmü tzel gehabt unsere aber haben nach Niedermachung ein und und anderen Manns das bey dem Feind gefunde ne Schlacht Vieh weg genommen und glüklich eingebracht; Den 8ten seynd unsers Commandi renden Herrn Feld Marschallens Ex cellentz auf den rechten Flügel aber malen recognosciren gewesen und ha ben Arbeiter dahin beorderet eine klei ne Linie umher den rechten Flügel und eine Verdammung eines Donau Arm wo die Uberschwemmung des Erdreichs das Lager auf dieser Seiten inaccessible ge macht und zwar aus Ursach sich der gestalten fest in dem Lager zu setzen dass man eine ziemliche Mannschaft zu anderen Operationen davon ziehen kön  Eodem ist auch ein Trompeter vom Feind mit Briefschaften herüber ge kommen und hat einem im Haupt Quartier krank ligenden Officier Geld überbracht; dieser hat auch ausgesagt der Herr General Ducd’Harcourt ha be das Commando dem ComtedeSaxe noch nicht übergeben indeme dieser die erforderliche Königl.', 'Ubrigens hat die Armee theils gestern, theils heute das von dem Feind verlassene Lager bezogen, die Stadt Torgau aber ist, nebst dem Tete de Pont durch das Hussaren Darmstädtische Battaillon besetzet worden; das feindliche Corps hat seine Retraite jenseits der Elbe längs des Flus ses genommen, also zwar, dass die Cavallerie von dem Luzinskyschen Corps sich diesen Mor gen bey Damitz über die Brucken zuruck zu ziehen genöhtiget wurde, der Feind verfolgte solche bis an die Brucken, und machte gegen selbe ein heftiges Canonen feuer, allein der Herr General Luzinsky beantwortete solches mit seiner Artillerie so scharf, dass der Feind sich zu retiriren bemüssiget wurde, und seinen Marsch gegen Jessen und der Elster fortsezte, da dann gedachter General Luzinsky also gleich samtliche Cavallerie und leichte Trupen wie derum über die Elbe brucken nachrucken, und durch solche den Feind verfolgen liesse.| CAPITULATIONS PUNCTA,| Wegen der Stadt Torgau, und der darinnen befindlichen Garnison.', 'Armee nach denen so beschwerlich und sehr forcirten Marschen zu Bautzen Rast tag, woselbst zu ver nehmen gekommen, was gestalten zwar Prinz Heinrich noch bey Hoyers werda stünde, jedoch aber von denen feindlichen Hussaren nicht nur be reits Camenz besetzet, sondern auch etwas davon bis Königsbruck vorge rucket wäre, und da eben ein derley Hussaren commando gestern Nach mittags herwärts Hermsdorf recognosciren gewesen, bey dessen Zuruck marsche aber bey gleich gedachtem Dorf ein Leutenant mit  Pferden zuruck gelassen worden, wurde solcher von des Esterhasischen Hussaren re giments Ritt meister Müdelbauer, welcher mit einem etwelchen Hussa ren commando unweit davon in dem Walde gestanden, attaquiret, der Officier nebst einigen Gemeinen getödtet,  Mann samt ihren Pferden gefangen, und der Uber rest gegen Weissig und Natzka versprenget, wor auf sothanes Commando, um sich in denen Waldungen nicht einem gleich mässigen Schicksal auszusetzen, bey Luppe postirte.']"
18,17,106,17_churfürstl_churfl_chur_churfürsten,"['churfürstl', 'churfl', 'chur', 'churfürsten', 'jhro', 'wermsdorf', 'maynz', 'churf', 'mayntz', 'fürstl']","['und Churfürstl.', 'und Churfürstl.', 'und Churfürstl.']"
19,18,105,18_stüferner_1775_weissenkirchner_mugler,"['stüferner', '1775', 'weissenkirchner', 'mugler', 'deto', '1781', '1772', 'agspacher', '1774', '1780']","['12, 1775 Stüferner  deto.', '1780 und 1781 Stüferner, und Weissenkirchner  deto.', '1775 Stüferner  deto.']"
20,19,102,19_rathstag_sässen_behandlung_abzuwarten,"['rathstag', 'sässen', 'behandlung', 'abzuwarten', 'amtsschreiber', 'verhindernissen', 'gemeiner', 'folglich', 'willens', 'kaufen']","['Da nun zu die sem Ende der  Juny dies Jahrs bestimmet  So haben diejenigen, welche das gedachte Haus zu kaufen willens sind, an dem bestimmten Tage, oder da wir anderer Verhindernissen halber diesen Tag nicht zu Rath sässen, den nächst darauf folgen den Rathstag früh um  Uhr vor uns zu erschei nen, und sich bey unserem, und gemeiner Stadt Grundbuch durch den Amtsschreiber anmelden zu lassen, folglich der weiteren Behandlung abzuwarten.', 'Da nun zu die sem Ende der  des Monats Juli dies Jahrs bestimmet  So haben all diejenige, welche das gedachte Haus zu kaufen Willens sind, an den bestimmten Tag, oder da wir diesen Tag anderer Verhindernissen halber nicht zu Rath sässen, den nächst darauf folgenden Rathstag früh um 8 Uhr vor uns zu erscheinen, und sich bey unserm und gemeiner Stadt Grundbuch durch den Amtsschreiber anmelden zu lassen, folglich der weitern Behandlung abzuwarten.', 'Da nun zu diesem Ende der Juni dies Jahrs bestimmet  So haben diejenige, welche das gedachte Haus zu kaufen willens sind, an den bestimmten Tage, oder da wir anderer Verhindernissen halber diesen Tag nicht zu Rath sässen, den nächst darauf folgenden Rathstag früh um 8 Uhr vor uns zu erscheinen, und sich bey unserer und gemeiner Stadt Pupillenraitkammer durch den Amtsschreiber anmelden zu lassen, folglich der weitern Behandlung abzuwarten.| Von des löbl.']"
21,20,100,20_landesfürstl_majestäten_reichsfürstl_majestä,"['landesfürstl', 'majestäten', 'reichsfürstl', 'majestä', 'landsfürstl', 'gefälligster', 'durchl', 'beutel', 'majestät', 'noblegardes']","['Von des landesfürstl.', 'Von des landesfürstl.', 'Von des landesfürstl.']"
22,21,99,21_militärsp_43_allg_50000,"['militärsp', '43', 'allg', '50000', 'alt', 'bede', 'allgem', '55', 'cath', '50']","['alt 34  im Militärsp.', 'W alt 25  alle 3 im Militärsp.', 'alt 43  alle 7 im Militärsp.']"
