Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document
Mann Frantzosen so wohl lnfanterie als Cavallerie schnell auss der Statt  commandirt worden worzu die bey Rheinheimb Pfull und Offenhausen campirende bey  biss 5000.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
Nachricht dar von| von bekommen ehe sie dahin angelanget in Postur gestanden weilen aber selbige ziemblich weit auss einander gelegen als haben sie die Infanterie nicht zu Handen bringen können dahero sie anfänglich zimblichen Schaden gelitten aber sich dannech so dapffer gehalten dass sie die Frantzo sen in die Flucht gebracht und ihrer selbst eygener Aussag nach bey 1200. erleget; Gestern Abends kammen nur einige Trouppen über gedachte Brucken biss dahin von sie verfolget wider an und wehrete der March biss  Uhr gegen Tags da dann  Wägen mit Blessirten hereinge bracht ohne was in das Lager bey Offenhausen geführet worden dar von heüt  in das so genannte Seelhauss herein kommen sollen man hat aller Orthen insonderheit in die vornehme Häuser geschickt umb alte Leinwath die Verwundte hiermit zuverbinden auffzubringen al le Würthshäuser seynd mit dergleichen  Officiren beleget deren etliche heüt gestorben sie manglen an   Officirs so todt und blessiret darun ter  vornehme gezehlet werden.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
"Eodem erhielte man auss Hungarn die Confirmation von Arrath, dass der Herr Obrist Wachtmeister Becker mit Zuziehung der Ratzischen Militz die Rebellen  mahl geschlagen Erstlich bey Gross Wardein mit Erlegung 1000.",0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
"Mann nebst Eroberung  Fahnen und die übrigen in den Morast gesprengt; Zum anderten zu Potskay  Mann in Morast verjagt und die übrigen biss Diossek, welcher Orth dem Herrn General Cronsfeld gehörig verfolget auch 7000.",0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
Hinge gen stehen beede Haupt Rebellen Ragozzi und Perezzeni noch jenseits der Theyss mit  Tartarn fordern grosse Contribution ein und haussen sehr übel.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
Der Herr General Heuster hat dem Herrn General Solari (nachdem er  Battallions zu dem Vaubonischen Corpo zur Verstärckung ab geschickt mit seiner Mannschafft von Roveredo zu sich beruffen.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
Ungarischen Ochsen und   ArtigleriPferdt in dem Städtlein Clausen unterhalb Brixen glücklich an gelangt.,9,9_pferde_pferd_pferden_zigeuner,"['pferde', 'pferd', 'pferden', 'zigeuner', 'roma', 'wägen', 'blessirt', 'stall', 'fuss', 'kutschen']",,pferde - pferd - pferden - zigeuner - roma - wägen - blessirt - stall - fuss - kutschen,False
"General Leuthenant mit allen Kriegs  Requisiten genugsam versehen auch sein ver trenchirtes Lager perfectionirt, und die Brandenburgische und andere Völcker den 4 Augusti angelangt als hoffet man bald etwas veränderliches zu hören absonderlich weilen der jüngste bey Ehingen zwischen denen Käyserlichen unter Herrn General delaTour, und denen Frantzosen vorbey gegangene scharffe Combat, hierzu ein Anfang gemacht.",0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
Krancke bey sich im Lager haben.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
Ferner seynd Brieffe von Saltzburg vom  Augusti eingelauffen dass die Bauren die Vestung Kopffstein noch alleweil bloquirter hielten und halt sich der Postmeister von Gundel welcher Rottenberg mit den Bau ren hat helffen einnehmen; wie auch der Bauer Cristel Troyling welcher bey Landeck das Commando geführet noch allezeit tapffer und hoffen sie den Orth bald zur Ubergab zu bezwingen.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
"Mann gewesen auff den Marsch hat ein jeder Reuter einen Mussquetier mit sich geführet und wären  Generalen darbey gewesen; nemblich MarquisdeHeron, Marquis Bouboussart, Marquis Lega, und MonsieurCalé, so dises Corpo geführet und alle blessirt worden; MarquisdeHeron ligt zu Ulm kranck an seiner Blessur und sollen die Frantzosen bey Mann | Blessirte und Todte manglen hätten gleich Anfangs  Obriste Lieute nannts verlohren; hingegen hätten sie  Standarten und etliche Gefan gene die Käyserliche aber  Standarten bekommen.",0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
Mann damahls starck gewesen von welchen etlich  gebliben worunter der Printz von Hannover und etliche andere Oficirs; dessen ungeachtet avancirt ermeldes Käyserliche Cor po immer näher gegen Ulm und haben die Passage abgeschnitten.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
Hingegen will im Käyserlichen Lager von einer Belagerung und Bombar dirung geredet werden als worzu alles in besagtem Lager præparirt wird welchen Orth es aber gelten solle weiss man noch nicht einige meynen dass es auff Ulm angesehen ist weilen geredet wird dass sich bereits einige Käyserliche Trouppen widerumb hinauff gegen Langenau ziehen und von dem Weiler Böffingen biss auff das Dorff Lähr ein Lager aussgesteckt würde; Jnzwischen seye die Stadt Um einer Seiths gleichsamb einge sperret und kommet nichts hinein als was unter den Stücken der Stadt ligt.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
Man redet auch dass der junge Cohorn in den Linien zu Stollhofen mit einer schönen Artillerie angelangt seye und sollen die Trouppen unter dem General Thüngen 24000.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
So gleich vernimbt man durch einen Expressen dass die grosse Armee von Calmthout und Brecht gestern aufgebrochen und gegen Dornhout gerucket ist; Einige meynen sie wer den suchen Huy Limburg Vianden und Trarbach himweg zunehmen andere aber vermuthen dass es nach Eroberung Huy auff Namur loss ge hen dörffte so aber die Zeit lehren wird.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
Jndessen tringen Jhro Majestät starck auff die Kriegs Anstalten und haben  resolvirt mit dem Ertz Hertzog Carl von Oesterreich kurtz nach dises Ankunfft allhier ims Feld zu gehen zu dem Ende werden grosse Magatzinen auffgerichtet um Unterhalt dero Armee welche in 40000.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
Mann zu Fuss und 7000. zu Pferdt bestehen und an selbige mit Anfang dess Monaths Augusti 60000.,9,9_pferde_pferd_pferden_zigeuner,"['pferde', 'pferd', 'pferden', 'zigeuner', 'roma', 'wägen', 'blessirt', 'stall', 'fuss', 'kutschen']",,pferde - pferd - pferden - zigeuner - roma - wägen - blessirt - stall - fuss - kutschen,False
Der Admirant von Castilien will auch in Campagne gehen und lasset  Regimenter werben umb ihme zur Gardes zu dienen.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
Die Dähnische Trouppen so bey Lintz gestanden seynd nunmehro auffgebrochen umb sich mit denen ande| anderen zu conjungiren und von selbiger Seithen in Bäyren einzufallen.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
"Hingegen werden auss Hungarn die jüngst gedachte Actionesconfirmirt, und dass der Herr General Nigrelli ein starckes Corpo bey Caschau ver samble darmit wider die Rebellen zu  agiren.",0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
Armée die Rede gehet dass ein starckes Corpo ehisten über die Donau ge hen werde umb den MarquisdeVillars auss seinem Lager herauss zu bringen.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
Vorgestern langten  Hussaren allhier an so der General Santini auff denen Böhmischen Gräntzen gefangen und solle er bey selbiger Action viel 1000.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
"Gestern seynd  Curassier Regimenter nehmlich von Weichel und Verità, wel ches Letztere jetzt dem Graffen Costàconferirt worden auss dem Tyrol hierdurch passirt dem Verlaut nach sollen sie gegen Augspurg marschiren umb der Orthen die streiffende Hussaren zu verjagen.",0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
So haben auch  gefangene Tyroler Bauren allhier anlangen sollen man hört aber dass sie zu Seefeldt an der Fortification arbeiten müssen.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
Besatzung bekommen und dörffte villeicht eine neue Linie gezogen werden mithin die Völcker weiter gegen Hagenau ru cken.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
Hingegen sollen Morgens die Regimenter von Herrn General von Goer Brigad.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
Den  Augusti seynd  RemontPferdte im Lager ankommen und er wartet man derer noch mehr.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
Hingegen ist der Herr General Trautmansdorff mit einem Corpo gegen dem LagodiGarda gangen umb den Feind desto mehr Abbruch zu thun.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
"Vor etlichen Ta gen ist ein unsrige Parthey von dem Ebergenischen und Paul Diackischen Hussaren Regiment unter Anführung eines Rittmeisters bey Concordia über die Secchia gangen welche gleich darauff ein feindliche Vorwacht von einem Rittmeister Lieutenant und  Pferdten angetroffensolche atta | attaquirt, und völlig übern hauffen geworfen auch den Rittmaister mit den mehristen Theil nidergehauen den Leutenat aber nebst noch  Ge meinen gefangen genommen und darbey  Pferdte erbeutet habe.",0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
Der Herr von Obdam wohnet wider continuirlich der Versamblung der Her ren Staaten bey von wannen er mit nechsten wider nach der Armee abrei sen wird seine vorige Charge zubegleiten.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
"Auff reiterirte Jnstantz seynd die vor dem Rothenberg bey Nürnberg gestandene Schwarzenburgisch Reus sische Battallions, und ohnberittene Zantisch und Castellische Dragoner zu der Haubt Armee Jhro Durchleucht dess Käyserlichen General Lieute nants verwichene Wochen abmarschirt und also die Belagerung dasi gen Berg Schloss in ein Bloquada verändert worden nebens welchen man auch einige halbe Carthaunen und viel Munition von Nürnberg zu gedachter Armee geführet.",0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
"Von dannen man Nachricht hat dass vor wenig Tagen selbe die General Musterung  passirt und da ein General Salve darbey gegeben worden die Frantzösische Armee schon vermei net dass es ein Zeichen zu Liferung einer Bataille, dahero stündlich von einer Action etwas erfreuliches zu vernehmen massen auch der General de laTour mit einigen Battaillonen verstärckt worden umb zu gleicher Zeit über die Jller  passiren zu können da die grosse Käyserlche Armee über die Donau gehen werde.",0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
Brieffe von Philippine vom  Julij melden dass der Scha den so durch das Wasser in dem Land von Artois in Getreid und Vi he geschehen sehr gross seyeindemdasLandvonderGegendArienbiss  Mei|  Meilen in der Runde nach der Seithen von  Andræe  Augu stin und mehr Orthen unter dem Wasser gestanden auch sich die Menschen auff die Tächer  salviren müssen.,10,10_ungarn_wasser_regen_schaden,"['ungarn', 'wasser', 'regen', 'schaden', 'kälte', 'wetter', 'schnee', 'wind', 'häuser', 'orten']",,ungarn - wasser - regen - schaden - kälte - wetter - schnee - wind - häuser - orten,False
Auss Berlin vom  Augusti wird bericht dass weilen bey Jhro Königlichen Majestät von ein und andern Potentaten noch immer starck umb Uberlassung einiger Völcker angehalten wird als hat man be rathschlaget wie die Militz so dermahlen über 36000.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
Mann möchte gesetzt wer den; Die Land Militz wird sich auch jetzo schon auff 70000.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
Armee unter Jh rer Excellentz dem  Grafen Guido von Stahrenberg General Feld Zeug Meister stündlich bereit seye zu  marchiren umb gewisse Operationes vorzu nehmen.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
Von dem Viscontischen Corpo versichert Derselbe gleichfalls dass es sich mit denen Trouppen des Hertzogs von Savoyen glücklich  conjungirt und mehr nicht als gegen  Mann seith dem mit den Frantzosen gehaltenen Treffen verlohren worden deren doch die wenigste todt sondern theils gefan gen theils sich anderweithin in der Flucht zerstreuet hätten.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
als Styrumb und Hohenzollern wie auch einem Schwäbischen Kreyss Regiment Stauffenberg von dem Styrumbischen Corpo auff Mün derkingen zu  marchiren umb allda fernere Ordre zu erwarten.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
conjungiren;   Styrumb aber solle diesem Corpo mit dem übrigen Theil der Armee nach folgen und sich bey Geisslingen  postiren.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
Die Rebellen thun hiesigen Orth mit Stucken und glüenden Kugeln starck zusetzen und suchen dardurch uns zu einer Ubergab zu zwingen dessen ungeacht aber thut sich unser Com mendant annoch tapffer  desendiren hat den gestern vom Ragotzi an ihm ab geschickten Trompeter und Aufforderungs Brief unbeantwortet zuruck ge sandt und dagegen einen rothen Fahn aussstecken lassen.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
Eodem aus Warschau vom  Novembr.,221,221_polen_warschau_juny_aus,"['polen', 'warschau', 'juny', 'aus', 'julii', 'castellan', 'july', 'augusti', 'pohlen', 'friedenburg']",,polen - warschau - juny - aus - julii - castellan - july - augusti - pohlen - friedenburg,False
General Herbeville auss der Belagerung Amberg in der Obern Pfaltz anhero geschickte Courier so ein Unter OffieierOfficier von dem Printz Vaudemontischen Regiment ist die gewisse Nachricht dass nachdeme obgedachter  General die von Nürnberg beschri bene Wägen mit Bomben Pulffer und Kugeln sambt den begehrten Stucken erhalten habe Er so gleich vergangenen Frey und Sambstag auff obbemeld te Stadt dann und wann spielen lassen umb den Burgern darmit Bedenckzeit zu geben ob sie nicht etwan dadurch zu Verschonung der Stadt zur Ubergab sich bequemen möchten; weilen aber bey diesen seine gute Meynung nichts ver fangen wollen so habe Er letzten Sonntag der Stadt mit Schiessen und Feuer einwerffen starck zusetzen lassen in Hoffnung dadurch mit ehistem davon Mei ster zu werden.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
Hussa reuHussaren denen Rebellen zugefallen.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
Der Perzeni hingegen soll auss dem Lager unter Tockay mit 6000. ausserlesenen Leuthen unserm im Marsch be griffenen Succurs entgegen gezogen seynGOTTgebeeinenglücklichen )(3 Suc | Success Kayserl.,0,0_hungarn_armee_feind_böhmen,"['hungarn', 'armee', 'feind', 'böhmen', 'general', 'regiment', 'ungarn', 'lager', 'türken', 'truppen']",,hungarn - armee - feind - böhmen - general - regiment - ungarn - lager - türken - truppen,False
